id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2022-01-04 11:00:00;5863.71200000
NE;NORDESTE;2022-01-04 11:00:00;11186.38000000
S;SUL;2022-01-04 11:00:00;14636.72399999
SE;SUDESTE;2022-01-04 11:00:00;43235.01400000
N;NORTE;2022-01-04 12:00:00;5782.84299999
NE;NORDESTE;2022-01-04 12:00:00;11074.48500000
S;SUL;2022-01-04 12:00:00;13775.96200000
SE;SUDESTE;2022-01-04 12:00:00;42955.09100000
N;NORTE;2022-01-04 13:00:00;5984.19199999
NE;NORDESTE;2022-01-04 13:00:00;11410.07600000
S;SUL;2022-01-04 13:00:00;14405.36500000
SE;SUDESTE;2022-01-04 13:00:00;43608.78399999
N;NORTE;2022-01-04 14:00:00;6289.21199999
NE;NORDESTE;2022-01-04 14:00:00;11812.18599999
S;SUL;2022-01-04 14:00:00;14783.12400000
SE;SUDESTE;2022-01-04 14:00:00;44377.75600000
N;NORTE;2022-01-04 15:00:00;6361.47999999
NE;NORDESTE;2022-01-04 15:00:00;12084.02899999
S;SUL;2022-01-04 15:00:00;14870.26200000
SE;SUDESTE;2022-01-04 15:00:00;45018.76300000
N;NORTE;2022-01-04 16:00:00;6332.20899999
NE;NORDESTE;2022-01-04 16:00:00;11990.50300000
S;SUL;2022-01-04 16:00:00;15046.81300000
SE;SUDESTE;2022-01-04 16:00:00;45490.94700000
N;NORTE;2022-01-04 17:00:00;6146.02500000
NE;NORDESTE;2022-01-04 17:00:00;11478.00100000
S;SUL;2022-01-04 17:00:00;14791.25400000
SE;SUDESTE;2022-01-04 17:00:00;44675.92600000
N;NORTE;2022-01-04 18:00:00;6040.78199999
NE;NORDESTE;2022-01-04 18:00:00;11968.57899999
S;SUL;2022-01-04 18:00:00;13991.04900000
SE;SUDESTE;2022-01-04 18:00:00;45122.79400000
N;NORTE;2022-01-04 19:00:00;6285.37999999
NE;NORDESTE;2022-01-04 19:00:00;12093.85100000
S;SUL;2022-01-04 19:00:00;14556.31900000
SE;SUDESTE;2022-01-04 19:00:00;47601.32100000
N;NORTE;2022-01-04 20:00:00;6424.16799999
NE;NORDESTE;2022-01-04 20:00:00;12109.09599999
S;SUL;2022-01-04 20:00:00;15027.55200000
SE;SUDESTE;2022-01-04 20:00:00;47503.70900000
N;NORTE;2022-01-04 21:00:00;6501.19300000
NE;NORDESTE;2022-01-04 21:00:00;12620.05700000
S;SUL;2022-01-04 21:00:00;15016.56600000
SE;SUDESTE;2022-01-04 21:00:00;46478.90100000
N;NORTE;2022-01-04 22:00:00;6547.13500000
NE;NORDESTE;2022-01-04 22:00:00;12473.08900000
S;SUL;2022-01-04 22:00:00;14757.37200000
SE;SUDESTE;2022-01-04 22:00:00;44590.91600000
N;NORTE;2022-01-04 23:00:00;6505.48700000
NE;NORDESTE;2022-01-04 23:00:00;12080.23599999
S;SUL;2022-01-04 23:00:00;13954.24500000
SE;SUDESTE;2022-01-04 23:00:00;42029.01800000
N;NORTE;2022-01-05 00:00:00;6364.34999999
NE;NORDESTE;2022-01-05 00:00:00;11705.93100000
S;SUL;2022-01-05 00:00:00;13100.88800000
SE;SUDESTE;2022-01-05 00:00:00;39630.74600000
N;NORTE;2022-01-05 01:00:00;6224.35300000
NE;NORDESTE;2022-01-05 01:00:00;11304.19000000
S;SUL;2022-01-05 01:00:00;12535.43999999
SE;SUDESTE;2022-01-05 01:00:00;37700.43900000
N;NORTE;2022-01-05 02:00:00;6131.06899999
NE;NORDESTE;2022-01-05 02:00:00;11149.72300000
S;SUL;2022-01-05 02:00:00;12125.88000000
SE;SUDESTE;2022-01-05 02:00:00;36576.95900000
N;NORTE;2022-01-05 03:00:00;6042.82399999
NE;NORDESTE;2022-01-05 03:00:00;10936.28500000
S;SUL;2022-01-05 03:00:00;11843.04500000
SE;SUDESTE;2022-01-05 03:00:00;35996.95800000
N;NORTE;2022-01-05 04:00:00;5914.04200000
NE;NORDESTE;2022-01-05 04:00:00;10893.24500000
S;SUL;2022-01-05 04:00:00;11770.47200000
SE;SUDESTE;2022-01-05 04:00:00;36003.44000000
N;NORTE;2022-01-05 05:00:00;5738.73800000
NE;NORDESTE;2022-01-05 05:00:00;10211.34700000
S;SUL;2022-01-05 05:00:00;11793.28900000
SE;SUDESTE;2022-01-05 05:00:00;36290.83999999
N;NORTE;2022-01-05 06:00:00;5458.75799999
NE;NORDESTE;2022-01-05 06:00:00;9884.65899999
S;SUL;2022-01-05 06:00:00;11957.63800000
SE;SUDESTE;2022-01-05 06:00:00;37128.33600000
N;NORTE;2022-01-05 07:00:00;5318.30100000
NE;NORDESTE;2022-01-05 07:00:00;10434.92800000
S;SUL;2022-01-05 07:00:00;12924.96700000
SE;SUDESTE;2022-01-05 07:00:00;39430.75700000
N;NORTE;2022-01-05 08:00:00;5528.08000000
NE;NORDESTE;2022-01-05 08:00:00;11036.57900000
S;SUL;2022-01-05 08:00:00;13884.99100000
SE;SUDESTE;2022-01-05 08:00:00;41418.03300000
N;NORTE;2022-01-05 09:00:00;5692.43900000
NE;NORDESTE;2022-01-05 09:00:00;11298.37099999
S;SUL;2022-01-05 09:00:00;14137.76800000
SE;SUDESTE;2022-01-05 09:00:00;42403.15200000
N;NORTE;2022-01-05 10:00:00;5754.83700000
NE;NORDESTE;2022-01-05 10:00:00;11464.92500000
S;SUL;2022-01-05 10:00:00;14452.19900000
SE;SUDESTE;2022-01-05 10:00:00;42857.95400000
N;NORTE;2022-01-05 11:00:00;5877.94400000
NE;NORDESTE;2022-01-05 11:00:00;11525.15700000
S;SUL;2022-01-05 11:00:00;14552.07599999
SE;SUDESTE;2022-01-05 11:00:00;42915.23900000
N;NORTE;2022-01-05 12:00:00;5790.34899999
NE;NORDESTE;2022-01-05 12:00:00;11351.88500000
S;SUL;2022-01-05 12:00:00;13812.61000000
SE;SUDESTE;2022-01-05 12:00:00;42923.99999999
N;NORTE;2022-01-05 13:00:00;6021.20799999
NE;NORDESTE;2022-01-05 13:00:00;11658.36200000
S;SUL;2022-01-05 13:00:00;14542.04500000
SE;SUDESTE;2022-01-05 13:00:00;44255.73600000
N;NORTE;2022-01-05 14:00:00;6242.36400000
NE;NORDESTE;2022-01-05 14:00:00;11944.19699999
S;SUL;2022-01-05 14:00:00;14967.00900000
SE;SUDESTE;2022-01-05 14:00:00;45511.36000000
N;NORTE;2022-01-05 15:00:00;6334.84100000
NE;NORDESTE;2022-01-05 15:00:00;11995.89299999
S;SUL;2022-01-05 15:00:00;14995.48500000
SE;SUDESTE;2022-01-05 15:00:00;46275.08300000
N;NORTE;2022-01-05 16:00:00;6264.50999999
NE;NORDESTE;2022-01-05 16:00:00;11961.54399999
S;SUL;2022-01-05 16:00:00;14956.77700000
SE;SUDESTE;2022-01-05 16:00:00;46475.81400000
N;NORTE;2022-01-05 17:00:00;6120.77299999
NE;NORDESTE;2022-01-05 17:00:00;11528.56800000
S;SUL;2022-01-05 17:00:00;14485.11400000
SE;SUDESTE;2022-01-05 17:00:00;45239.51400000
N;NORTE;2022-01-05 18:00:00;6007.32599999
NE;NORDESTE;2022-01-05 18:00:00;12216.44899999
S;SUL;2022-01-05 18:00:00;13651.26300000
SE;SUDESTE;2022-01-05 18:00:00;45573.08700000
N;NORTE;2022-01-05 19:00:00;6320.10700000
NE;NORDESTE;2022-01-05 19:00:00;12382.81900000
